Project_ID,Area_sqft,Floors,Material_Quality,Location_Type,Labor_Cost_per_sqft,Material_Cost_per_sqft,Design_Complexity,Duration_months,Total_Cost
C0001,7770,2,Medium,Suburban,259,413,10,17,7773782.64
C0002,1360,5,Low,Rural,188,336,8,17,814906.88
C0003,5890,1,Medium,Suburban,159,484,7,9,4958427.87
C0004,5691,2,High,Urban,297,270,2,10,5460627.94
C0005,6234,1,High,Suburban,150,444,2,9,5143898.21
C0006,6765,2,Medium,Urban,155,237,4,5,3872740.22
C0007,966,5,Medium,Suburban,215,415,9,21,812364.57
C0008,4926,4,High,Rural,187,326,9,21,3528940.21
C0009,6078,3,Medium,Rural,216,271,8,20,3724386.28
C0010,8822,1,Low,Suburban,249,425,5,9,7608282.46
C0011,2185,5,Low,Urban,226,483,7,21,2168338.35
C0012,1269,4,Medium,Urban,184,445,9,7,1230400.99
C0013,7449,5,High,Suburban,194,270,3,15,4881681.9
C0014,2933,1,Medium,Urban,299,394,4,4,2850696.07
C0015,5811,3,Low,Suburban,217,237,2,20,2914445.54
C0016,5551,5,Low,Urban,166,316,9,6,4040726.64
C0017,6920,2,High,Urban,154,437,7,6,7543259.53
C0018,1684,4,High,Urban,206,403,6,10,1877880.19
C0019,5055,5,Medium,Rural,244,204,5,13,2425926.11
C0020,3885,4,Medium,Suburban,179,356,7,3,2893550.95
C0021,6896,2,Low,Urban,156,306,3,11,4114855.16
C0022,9166,3,High,Urban,273,427,5,8,10906635.95
C0023,9774,3,High,Suburban,240,341,2,6,7312468.54
C0024,3058,2,Medium,Urban,296,371,5,8,3164607.67
C0025,8349,4,High,Suburban,299,345,7,15,8037239.9
C0026,2547,5,Medium,Rural,201,206,10,11,1224659.18
C0027,3247,2,Low,Suburban,155,215,7,16,1609460.52
C0028,9667,1,Medium,Suburban,258,236,9,14,7496014.4
C0029,689,4,Low,Suburban,244,352,3,6,507049.59
C0030,3234,3,Medium,Rural,215,464,8,10,2282104.6
C0031,3505,2,Medium,Rural,159,382,5,19,2010763.58
C0032,5158,3,Medium,Suburban,175,355,7,7,3580271.21
C0033,2399,4,Medium,Urban,282,336,1,5,2181443.57
C0034,8234,3,Medium,Suburban,217,289,1,6,4899700.54
C0035,1767,2,Low,Urban,247,417,4,10,1655411.25
C0036,2028,4,Medium,Suburban,220,385,5,18,1775955.36
C0037,4056,1,Medium,Suburban,199,408,10,13,3817478.02
C0038,4390,2,Medium,Urban,166,250,3,4,2349867.57
C0039,9338,5,High,Urban,160,487,6,10,9139079.56
C0040,5893,2,High,Suburban,202,287,3,9,4446908.62
C0041,9292,4,High,Rural,199,335,5,3,6561983.64
C0042,8933,2,Medium,Suburban,285,357,1,4,7732395.19
C0043,8013,1,Low,Suburban,273,481,3,15,6647956.81
C0044,3112,1,Medium,Urban,211,354,7,13,2769234.31
C0045,7541,5,Medium,Suburban,225,419,3,5,6252573.55
C0046,6735,3,Medium,Suburban,272,366,5,4,5523024.44
C0047,5986,4,Low,Suburban,239,378,7,18,4729932.8
C0048,7599,4,High,Urban,178,249,2,3,5110641.46
C0049,1275,3,Low,Suburban,251,286,3,9,765167.48
C0050,8726,1,High,Urban,250,232,4,5,6498088.55
C0051,3652,1,High,Urban,259,474,5,18,4405056.61
C0052,2085,2,Medium,Rural,258,340,9,8,1448983.4
C0053,4443,5,High,Urban,178,405,9,16,4403267.32
C0054,8055,5,Medium,Urban,208,423,4,13,6903507.97
C0055,3573,5,High,Suburban,292,312,9,23,3819656.14
C0056,1521,2,Medium,Rural,219,477,4,21,1213903.65
C0057,4343,5,High,Suburban,245,204,2,3,2965178.35
C0058,8489,3,Medium,Suburban,193,411,10,23,7019493.96
C0059,7373,2,High,Rural,233,455,1,15,5459118.85
C0060,6175,3,Medium,Urban,270,229,7,22,4923635.85
C0061,661,2,Medium,Urban,206,281,4,11,429969.36
C0062,4797,5,High,Urban,266,435,8,13,5855230.6
C0063,1495,3,High,Rural,213,452,8,3,1225112.99
C0064,8129,3,Medium,Urban,248,317,8,15,6861127.6
C0065,9967,3,Low,Urban,187,229,6,22,5966520.64
C0066,1516,2,Medium,Suburban,294,310,9,3,1409731.96
C0067,8369,4,High,Suburban,176,453,4,5,8593717.2
